Summary,Issue Type,Priority,Epic,Labels,Assignee,Description,Dependencies
"Design: Shared inference cluster template (inference-only, no MaaS)",Story,High,Shared Inference Cluster,osac-aap design,Mriganka,"Design an OSAC AAP template role for inference-only clusters (LLMD + models, no MaaS gateway, no Keycloak). Cloud provider uses this to create shared model-serving infrastructure. MaaS installation must be optional and NOT included by default. Template should support GPU node pools and model pre-loading via LLMInferenceService. Deliverable: design doc with template structure, meta/osac.yaml, and parameter list.",
"Implement: Shared inference cluster AAP template role",Story,High,Shared Inference Cluster,osac-aap implement,Mriganka,"Create osac.templates.ocp_4_20_ai_inference role. Install KServe + vLLM + GPU operators. No MaaS, no Keycloak, no Service Mesh. Template type: cluster. Expose models via LLMInferenceService with cluster-internal + external endpoints. Parameters: model list, GPU class, replica count.",Design: Shared inference cluster template
"Implement: Standalone playbook for shared inference cluster",Story,Medium,Shared Inference Cluster,osac-aap implement,Mriganka,"Create playbook_osac_create_inference_cluster.yml for local testing of the inference-only template role. Follow OSAC playbook naming convention.",Implement: Shared inference cluster AAP template role
"Validate: Deploy shared inference cluster on live cluster",Story,High,Shared Inference Cluster,osac-aap validate,Mriganka,"Deploy inference-only cluster template. Verify models are serving, endpoints accessible, no MaaS/Keycloak installed. Test with at least 2 models (e.g., M1=Granite 8B, M2=Granite 2B).",Implement: Shared inference cluster AAP template role
"Design: Tenant cluster with MaaS + ExternalModel support",Story,High,Tenant Cluster,osac-aap design,Mriganka,"Extend existing ocp_4_20_ai_maas template to support ExternalModel registration as part of provisioning. Tenant admin configures cluster via RHOAI dashboard and links external models from shared inference clusters. Design the parameter interface: which shared cluster(s) to connect, which models to expose.",
"Implement: ExternalModel CR creation in tenant cluster role",Story,High,Tenant Cluster,osac-aap implement,Mriganka,"Add tasks to ocp_4_20_ai_maas (or a new role) to create ExternalModel CRs pointing to shared inference cluster model endpoints. Include MaaSModelRef + MaaSAuthPolicy + MaaSSubscription for each external model. Parameterize shared model list via defaults/main.yaml.",Design: Tenant cluster with MaaS + ExternalModel support
"Investigate: ExternalModel FQDN limitation with MaaS URL paths",Spike,High,ExternalModel Bridge,investigate,Mriganka,"ExternalModel CR endpoint field accepts only FQDN (hostname type, no path). MaaS exposes models at url/project/model-name paths. Demo team uses a proxy to translate between formats. Investigate: (1) Can ExternalModel spec be extended to support path-based endpoints? (2) What proxy does the demo team use? (3) Is there an upstream RFE or PR? (4) What is the simplest workaround for OSAC? Deliverable: investigation doc with recommendation.",
"Implement: Proxy for ExternalModel path translation",Story,High,ExternalModel Bridge,implement,Mriganka,"Based on investigation findings, implement the proxy or workaround that translates between ExternalModel FQDN format and MaaS url/project/model-name format. Options: (a) Envoy route rewrite, (b) dedicated proxy deployment, (c) HTTPRoute path manipulation. Must be automatable via Ansible.",Investigate: ExternalModel FQDN limitation with MaaS URL paths
"Validate: ExternalModel bridge end-to-end",Story,High,ExternalModel Bridge,validate,Mriganka,"From tenant cluster, send inference request to a model hosted on a shared inference cluster via ExternalModel + MaaS gateway. Verify: auth enforcement, rate limiting, and correct model response. Test with at least 2 shared models.",Implement: Proxy for ExternalModel path translation
"Design: Automated shared model endpoint registration",Story,High,Model Registration,design,Mriganka,"Design mechanism to automatically discover and register shared model endpoints in tenant clusters during provisioning. Options: (1) API call to shared cluster to list LLMInferenceService endpoints, (2) OSAC fulfillment service stores model catalog per shared cluster, (3) ConfigMap/Secret-based model registry on hub cluster. Deliverable: design doc with chosen approach.",
"Implement: Post-provisioning script to retrieve and register shared models",Story,Medium,Model Registration,osac-aap implement,Mriganka,"Create a script/playbook that: (1) connects to specified shared inference cluster(s), (2) lists available LLMInferenceService endpoints, (3) creates ExternalModel + MaaSModelRef + auth/subscription CRs on the tenant cluster. Tenant admin decides which models to register. Can be run independently of cluster provisioning.",Design: Automated shared model endpoint registration
"Design: Hooks for shared model add/remove propagation to tenant clusters",Story,Medium,Model Registration,design,Mriganka,"When a shared model is added to or removed from a shared inference cluster, tenant clusters need to be notified. Design the hook mechanism: (1) Event-driven via OSAC operator watch, (2) Periodic sync job, (3) Manual trigger via CLI/API. When removing a shared model, cleanup ExternalModel + MaaSModelRef on all tenant clusters that reference it.",
"Implement: Model removal cleanup on tenant clusters",Story,Medium,Model Registration,osac-aap implement,Mriganka,"When a shared model is decommissioned, remove the corresponding ExternalModel, MaaSModelRef, MaaSAuthPolicy, and MaaSSubscription from all tenant clusters. Prevent orphaned gateway routes. Can be a playbook or operator-driven.",Design: Hooks for shared model add/remove propagation to tenant clusters
"Investigate: Cross-cluster monitoring for tenants and cloud providers",Spike,Medium,Monitoring,investigate,Mriganka,"Determine monitoring architecture for the multi-cluster setup. Questions: (1) Does ACM MultiClusterObservability suffice for cross-cluster inference metrics? (2) Do tenants need per-cluster dashboards or a federated view? (3) Does the cloud provider need a separate aggregated dashboard? (4) Can Perses dashboards be federated across clusters? (5) What metrics need to cross cluster boundaries (token counts, latency, GPU utilization)? Deliverable: monitoring architecture doc.",
"Implement: Cloud provider monitoring dashboard",Story,Medium,Monitoring,implement,Mriganka,"Create a custom dashboard (Grafana or Perses) for the cloud provider showing: per-tenant token consumption, GPU-hour usage, model utilization across all clusters, rate-limit violations. Sources: Thanos Querier federated from all clusters via ACM.",Investigate: Cross-cluster monitoring for tenants and cloud providers
"Implement: Tenant monitoring dashboard",Story,Medium,Monitoring,implement,Mriganka,"Ensure each tenant cluster has the RHOAI observability dashboard (Cluster/Model/Usage tabs) showing both local models and ExternalModel traffic. Verify metrics flow correctly for external model requests.",Investigate: Cross-cluster monitoring for tenants and cloud providers
"Design: Multi-datacenter shared inference cluster deployment",Story,Medium,Multi-DC,design,Mriganka,"Design the deployment pattern for shared inference clusters across multiple data centers (e.g., DC1 with M1+M2, DC2 with M1+M3). Same model served from multiple DCs. Define: (1) How OSAC provisions clusters across DCs, (2) How model catalog is consistent across DCs, (3) Impact on tenant ExternalModel registration (multiple endpoints per model).",
"Investigate: AI Grid Router for cross-DC model routing",Spike,Medium,Multi-DC,investigate,Mriganka,"Senan is building AI Grid Router extending the current gateway with: weight-based routing, sticky sessions, routing based on TTFT (time to first token). Investigate: (1) Current state of AI Grid Router, (2) Integration path with OSAC tenant gateway, (3) Configuration model for tenant admin, (4) How does this interact with ExternalModel and MaaS gateway? Deliverable: integration design doc with timeline alignment.",
"Design: Tenant admin gateway configuration experience",Story,Medium,Multi-DC,design,Mriganka,"Define how tenant admin configures the AI gateway in their cluster. Questions: (1) Which shared models to access (model picker), (2) Routing preferences (latency-optimized, cost-optimized, geo-affinity), (3) Per-model rate limits and subscription tiers, (4) Is this via RHOAI dashboard UI or CLI/API only? Deliverable: UX flow + API design.",Investigate: AI Grid Router for cross-DC model routing
"Design: Cost management — token + GPU-hour attribution per tenant",Story,Medium,Cost Management,design,Mriganka,"Design cost attribution for the multi-cluster architecture. Components: (1) Token consumption per tenant from Limitador metrics (already captured), (2) GPU-hour consumption per tenant — dedicated GPU on tenant cluster + proportional share on shared inference cluster, (3) Aggregation and reporting format, (4) Integration point with OSAC billing (out of scope for Phase 1 but need the data model). Deliverable: cost attribution design doc.",
"Implement: Token consumption export per tenant",Story,Low,Cost Management,implement,Mriganka,"Create a metrics export mechanism (Prometheus recording rules or periodic job) that aggregates per-tenant token consumption across all models (local + external). Output: structured report suitable for billing integration. Build on existing Limitador authorized_hits metric.",Design: Cost management — token + GPU-hour attribution per tenant
"Investigate: ExternalModel upstream RFE for path-based endpoints",Spike,Low,ExternalModel Bridge,investigate,Mriganka,"File or find an upstream RFE in opendatahub-io/models-as-a-service to extend ExternalModel endpoint field to support URL paths (not just FQDN). The current hostname-only constraint blocks native integration with MaaS-served models. Track the RFE status and timeline. If accepted, the proxy workaround becomes temporary.",Investigate: ExternalModel FQDN limitation with MaaS URL paths
"Document: Architecture decision record for shared inference + tenant cluster pattern",Task,Medium,Documentation,doc,Mriganka,"Write an ADR capturing the chosen architecture: separate shared inference clusters + tenant clusters with ExternalModel bridges. Document: (1) Why not shared multi-tenant MaaS (RHOAI 3.5 dependency), (2) Why ExternalModel bridge over direct access, (3) FQDN limitation and proxy decision, (4) Multi-DC considerations. Reference OSAC-1613.",
"Implement: Dashboard provisioning for Phase 1 — model deployment + observability + resilience",Story,High,Tenant Cluster,osac-aap implement,Mriganka,"Harden the ocp_4_20_ai_maas Ansible role for production-grade dashboard provisioning. (1) Automate model deployment via dashboard UI flow (LLMInferenceService + MaaSModelRef + auth policies + subscriptions), (2) Ensure observability stack (COO + OTel + Perses) is fully operational without UIPlugin, (3) Add resilience — retry logic for PVC creation, hold-until-clean install plan approval, maas-controller restart after subscriptions, TRLP enforcement wait, catalog-operator restart after cleanup. Validated on RHOAI 3.4 with Granite 8B FP8 modelcar deployment.",
"Test: Provision MaaS tenant cluster on OSAC infrastructure",Story,High,OSAC Integration,osac-infra validate,Yuval,"Test end-to-end provisioning of the ocp_4_20_ai_maas template on a real OSAC-managed cluster. Verify: (1) ClusterOrder API creates the order, (2) OSAC operator dispatches to AAP, (3) AAP runs ocp_4_20_ai_maas role, (4) MaaS + observability fully operational post-provisioning. Document any OSAC infrastructure gaps.",
"Implement: MaaS template as OSAC CatalogItem with parameters",Story,High,OSAC Integration,osac-infra implement,Yuval,"Register ocp_4_20_ai_maas as a CatalogItem in the OSAC fulfillment service with configurable parameters exposed via field_definitions. Parameters to expose: GPU node count, model list, observability enable/disable, Keycloak realm name, subscription tier limits. Verify template appears in OSAC API and can be ordered with custom parameters.",
"Implement: Preconfigure model loading as parameterized template steps",Story,High,OSAC Integration,osac-aap implement,Yuval,"Extend the MaaS template role to accept a model catalog parameter (list of model names + container images) and automatically deploy models as LLMInferenceService + MaaSModelRef + auth policies + subscriptions during provisioning. Tenant gets a ready-to-use cluster with pre-loaded models. Minimize post-provisioning manual steps.",Implement: MaaS template as OSAC CatalogItem with parameters
"Implement: Replace tenant Keycloak with shared OSAC Keycloak",Story,High,OSAC Integration,osac-aap implement,Yuval,"Replace the per-tenant Keycloak instance (deployed on each tenant cluster) with the shared OSAC Keycloak. Changes: (1) Create a realm per tenant in the shared Keycloak instead of deploying RHBK, (2) Configure MaaS Tenant CR to use shared Keycloak's OIDC issuer, (3) Remove Keycloak deployment tasks from ocp_4_20_ai_maas role, (4) Add realm provisioning tasks against the shared instance. Reduces per-cluster resource usage and centralizes identity management.",
